,oid_,state,stateabbrv,county,population,buildvalue,agrivalue,area,risk_score,risk_ratng,risk_spctl,eal_score,eal_ratng,eal_spctl,sovi_score,sovi_ratng,sovi_spctl,resl_score,resl_ratng,resl_spctl,avln_evnts,avln_risks,avln_riskr,cfld_evnts,cfld_risks,cfld_riskr,cwav_evnts,cwav_risks,cwav_riskr,drgt_evnts,drgt_risks,drgt_riskr,erqk_evnts,erqk_risks,erqk_riskr,hail_evnts,hail_risks,hail_riskr,hwav_evnts,hwav_risks,hwav_riskr,hrcn_evnts,hrcn_risks,hrcn_riskr,istm_evnts,istm_risks,istm_riskr,lnds_evnts,lnds_risks,lnds_riskr,ltng_evnts,ltng_risks,ltng_riskr,rfld_evnts,rfld_risks,rfld_riskr,swnd_evnts,swnd_risks,swnd_riskr,trnd_evnts,trnd_risks,trnd_riskr,tsun_evnts,tsun_risks,tsun_riskr,vlcn_evnts,vlcn_risks,vlcn_riskr,wfir_evnts,wfir_risks,wfir_riskr,wntw_evnts,wntw_risks,wntw_riskr,nri_ver,fulllocation,longitude,latitude
586,586,idaho,ID,minidoka,21577,4.87E+09,406544069,7.70E+02,23.98981864,Very Low,38.6363636,18.94150418,Very Low,40.9090909,68.68,Relatively High,0.840909091,12.35,Very Low,0.318181818,NA,NA,Not Applicable,NA,NA,Not Applicable,8.922854385,94.05027,Relatively High,1316,77.02832,Relatively Low,NA,69.99681833,Relatively Low,12,41.2026726,Very Low,8.99E+00,60.35635,Relatively Low,NA,NA,Not Applicable,0,12.42504997,Very Low,0,12.303244,Relatively Low,91,28.05662806,Relatively Low,5,33.375756,Very Low,24,48.2341712,Relatively Low,4,10.30862234,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,56.18835507,Very Low,3.67E+01,71.619472,Relatively Moderate,23-Mar,"minidoka, idaho",-113.49028,42.7538
587,587,idaho,ID,nez perce,42062,9.70E+09,85249508,8.65E+02,16.89468661,Very Low,27.2727273,14.7632312,Very Low,27.2727273,54.2,Relatively Moderate,0.545454545,63.49,Relatively High,0.931818182,NA,NA,Not Applicable,NA,NA,Not Applicable,0.000707071,28.8896,Very Low,490,45.0525,Very Low,NA,61.43811645,Very Low,12,21.0308622,Very Low,2.05E+01,73.94209,Relatively Moderate,NA,NA,Not Applicable,0,14.02398401,Very Low,2,75.778991,Relatively Low,82,11.77606178,Very Low,11,32.898505,Very Low,7,10.6904232,Very Low,3,9.8313713,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,87.11422208,Relatively Moderate,3.58E+01,39.230035,Relatively Low,23-Mar,"nez perce, idaho",-116.62288,46.41818
588,588,idaho,ID,oneida,4563,8.87E+08,41535601,1.21E+03,4.32707604,Very Low,6.8181818,4.27112349,Very Low,11.3636364,20.5,Relatively Low,0.204545455,28.26,Relatively Low,0.5,NA,NA,Not Applicable,NA,NA,Not Applicable,4.008767419,49.57047,Relatively Low,1225,42.92078,Very Low,NA,47.12058543,Very Low,14,12.9812281,Very Low,1.04E+00,19.56729,Very Low,NA,NA,Not Applicable,0,2.66489007,Very Low,0,49.919692,Relatively Low,217,10.1994852,Very Low,14,5.186128,Very Low,23,11.4222081,Very Low,3,3.02258988,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,80.75087496,Relatively Low,1.02E+02,41.32994,Relatively Low,23-Mar,"oneida, idaho",-112.52451,42.20598
589,589,idaho,ID,owyhee,11869,2.47E+09,313551177,7.77E+03,37.54374801,Very Low,56.8181818,29.34076137,Very Low,50,75.97,Relatively High,0.931818182,2.13,Very Low,0.068181818,NA,NA,Not Applicable,NA,NA,Not Applicable,2.20727755,65.63793,Relatively Moderate,1988,55.1384,Relatively Low,NA,51.9249125,Very Low,5,18.6446071,Very Low,1.44E+01,65.95609,Relatively Low,NA,NA,Not Applicable,4,22.55163225,Very Low,0,71.442339,Relatively Low,111,22.00772201,Very Low,23,19.280942,Very Low,7,4.8997773,Very Low,3,5.56792873,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,94.43207127,Relatively Moderate,3.72E+01,28.157811,Relatively Low,23-Mar,"owyhee, idaho",-116.06229,42.68274
590,590,idaho,ID,payette,25363,5.12E+09,191992885,4.14E+02,20.04454343,Very Low,31.8181818,16.55834107,Very Low,31.8181818,60.92,Relatively High,0.636363636,25.3,Relatively Low,0.454545455,NA,NA,Not Applicable,NA,NA,Not Applicable,0.99997632,54.1839,Relatively Low,714,38.5937,Very Low,NA,69.83773465,Relatively Low,9,40.2799873,Very Low,3.10E+01,74.48298,Relatively Moderate,NA,NA,Not Applicable,1,14.82345103,Very Low,0,67.555413,Relatively Low,52,31.53153153,Relatively Low,7,21.508113,Very Low,11,22.4307986,Relatively Low,0,8.52688514,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,87.08240535,Relatively Moderate,2.10E+01,41.679924,Relatively Low,23-Mar,"payette, idaho",-116.93377,44.07822
591,591,idaho,ID,power,7876,2.32E+09,270020159,1.46E+03,26.21699014,Very Low,45.4545454,18.10584958,Very Low,36.3636364,61.52,Relatively High,0.681818182,5.89,Very Low,0.090909091,NA,NA,Not Applicable,NA,NA,Not Applicable,8.372614303,90.83678,Relatively High,1225,75.88291,Relatively Low,NA,60.70633153,Very Low,15,13.235762,Very Low,3.16E+00,22.71715,Very Low,NA,NA,Not Applicable,0,5.69620253,Very Low,0,68.743977,Relatively Low,176,16.08751609,Very Low,18,18.740057,Very Low,28,27.1714922,Relatively Low,14,6.87241489,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,88.8323258,Relatively Moderate,6.52E+01,44.479796,Relatively Low,23-Mar,"power, idaho",-112.76845,42.75285
592,592,idaho,ID,shoshone,13154,3.40E+09,246632,2.67E+03,8.71778556,Very Low,18.1818182,6.43763541,Very Low,15.9090909,75.43,Relatively High,0.909090909,17.25,Very Low,0.409090909,1,37.9807692,Very Low,NA,NA,Not Applicable,5.003287561,57.93828,Relatively Moderate,735,15.24022,Very Low,NA,38.46643334,Very Low,9,4.0725422,Very Low,1.00E+01,45.0525,Relatively Low,NA,NA,Not Applicable,12,38.77415057,Relatively Low,3,94.05718,Relatively Moderate,92,5.85585586,Very Low,24,58.097359,Relatively Low,8,12.6630608,Very Low,1,4.39070951,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,54.78841871,Very Low,2.83E+02,38.211899,Relatively Low,23-Mar,"shoshone, idaho",-114.40588,42.93602
593,593,idaho,ID,teton,11613,4.44E+09,51986283,4.55E+02,27.93509386,Very Low,50,38.44011142,Very Low,59.0909091,13.08,Very Low,0.113636364,37.33,Relatively Low,0.636363636,NA,NA,Not Applicable,NA,NA,Not Applicable,25.16248098,76.29653,Relatively Moderate,763,38.81642,Very Low,NA,80.94177537,Relatively Low,11,24.9443207,Very Low,0.00E+00,0,No Rating,NA,NA,Not Applicable,0,5.06329114,Very Low,0,16.061677,Relatively Low,241,38.12741313,Relatively Low,5,6.33153,Very Low,13,11.2949411,Very Low,0,10.49952275,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,89.30957684,Relatively Moderate,2.00E+02,45.911549,Relatively Low,23-Mar,"teton, idaho",-111.67774,43.88658
594,594,idaho,ID,twin falls,89972,1.56E+10,780195767,1.95E+03,51.35221126,Relatively Low,79.5454546,49.98452491,Very Low,77.2727273,53.79,Relatively Moderate,0.522727273,49.87,Relatively Moderate,0.795454545,NA,NA,Not Applicable,NA,NA,Not Applicable,4.627201303,94.27299,Relatively High,1575,70.09227,Relatively Low,NA,73.14667515,Relatively Low,8,47.2796691,Relatively Low,1.20E+01,83.20076,Relatively Moderate,NA,NA,Not Applicable,4,64.69020653,Relatively Moderate,0,55.926759,Relatively Low,131,56.20978121,Relatively Low,9,34.807509,Relatively Low,12,42.1571747,Relatively Low,10,15.11294941,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,92.9366847,Relatively Moderate,4.21E+01,53.356666,Relatively Low,23-Mar,"twin falls, idaho",-114.47005,42.55584
595,595,idaho,ID,valley,11617,4.97E+09,12092284,3.77E+03,58.25644289,Relatively Low,81.8181818,64.09780254,Relatively Low,84.0909091,11.43,Very Low,0.068181818,64.61,Relatively High,0.954545455,2,46.1538461,Very Low,NA,NA,Not Applicable,0.989627753,36.6847,Relatively Low,595,16.57652,Very Low,NA,51.98854598,Very Low,5,5.0270442,Very Low,6.00E+00,35.25294,Relatively Low,NA,NA,Not Applicable,0,11.29247169,Very Low,1,76.999679,Relatively Moderate,109,12.32303732,Very Low,12,12.726694,Very Low,5,4.0725422,Very Low,0,3.49984092,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,97.00922685,Relatively High,1.34E+02,45.752466,Relatively Low,23-Mar,"valley, idaho",-115.79264,44.92047
596,596,idaho,ID,washington,10478,2.88E+09,57625493,1.49E+03,39.99363665,Very Low,63.6363636,32.31197772,Very Low,54.5454546,91.25,Very High,1,11.46,Very Low,0.295454545,1,37.5,Very Low,NA,NA,Not Applicable,0.569487792,42.31626,Relatively Low,1036,31.14858,Very Low,NA,54.97931912,Very Low,8,8.304168,Very Low,1.99E+01,62.04263,Relatively Low,NA,NA,Not Applicable,0,16.48900733,Very Low,0,68.96884,Relatively Low,66,6.82110682,Very Low,17,53.865733,Relatively Low,9,18.3582564,Very Low,3,5.94972956,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,94.24117086,Relatively Moderate,8.37E+01,44.416163,Relatively Low,23-Mar,"washington, idaho",-116.75486,44.36587
597,597,illinois,IL,adams,65679,8.13E+09,309043336,8.80E+02,51.09767738,Relatively Low,47.0588235,55.12225317,Relatively Low,50.9803922,28.29,Relatively Low,0.441176471,92.68,Very High,0.87254902,NA,NA,Not Applicable,NA,NA,Not Applicable,11,84.63252,Relatively High,98,87.46421,Relatively Moderate,NA,67.00604518,Relatively Low,122,33.4393891,Very Low,4.00E+01,95.19567,Relatively High,0,15.3880664,Very Low,95,71.8520986,Relatively Moderate,1,76.678445,Relatively Moderate,1797,69.75546976,Relatively Moderate,31,21.889914,Very Low,148,29.4304804,Relatively Low,27,60.35634744,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,2.00445434,Very Low,3.70E+01,72.287623,Relatively Moderate,23-Mar,"adams, illinois",-91.1982,39.86532
598,598,illinois,IL,alexander,5231,1.43E+09,19065042,2.55E+02,55.93382119,Relatively Low,53.9215686,51.12968121,Very Low,44.1176471,92.3,Very High,1,22.63,Relatively Low,0.049019608,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,119,47.97964,Very Low,NA,89.75501114,Relatively Low,117,38.8800509,Very Low,4.50E+01,34.36207,Relatively Low,2,11.5746972,Very Low,86,12.49167222,Very Low,0,56.247992,Relatively Low,2275,21.01029601,Very Low,180,86.06427,Relatively Moderate,133,51.1294941,Relatively Low,10,38.72096723,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,1.62265352,Very Low,3.60E+01,79.255488,Relatively Moderate,23-Mar,"alexander, illinois",-90.03901,39.72424
599,599,illinois,IL,bond,16725,3.97E+09,97176536,3.87E+02,44.03436207,Very Low,34.3137255,45.06344785,Very Low,36.2745098,43.35,Relatively Moderate,0.637254902,75.4,Relatively High,0.411764706,NA,NA,Not Applicable,NA,NA,Not Applicable,3,53.89755,Relatively Low,42,52.97486,Relatively Low,NA,87.81419026,Relatively Low,166,32.9939548,Very Low,6.30E+01,82.78715,Relatively Moderate,3,10.2736653,Very Low,74,55.42971352,Relatively Low,0,48.859621,Relatively Low,2150,48.51994852,Relatively Low,19,16.703786,Very Low,207,37.3210309,Relatively Low,22,58.92459434,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,15.08113268,Very Low,3.50E+01,48.965956,Relatively Low,23-Mar,"bond, illinois",-89.47422,38.90299
600,600,illinois,IL,boone,53397,1.23E+10,89956062,2.85E+02,54.53388482,Relatively Low,51.9607843,56.08170845,Relatively Low,51.9607843,41.53,Relatively Moderate,0.588235294,79.28,Relatively High,0.509803922,NA,NA,Not Applicable,NA,NA,Not Applicable,19,93.22304,Relatively High,322,35.79383,Very Low,NA,48.45688832,Very Low,160,53.8657334,Relatively Low,1.10E+01,71.36494,Relatively Low,1,5.2938537,Very Low,45,36.04263824,Relatively Low,0,20.141343,Relatively Low,1349,75.0965251,Relatively Moderate,22,31.912186,Very Low,210,85.9370029,Relatively Moderate,17,79.03277124,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,19.2173083,Very Low,6.10E+01,27.68056,Relatively Low,23-Mar,"boone, illinois",-88.8263,42.3485
601,601,illinois,IL,brown,6230,6.65E+08,57152633,3.10E+02,6.14062997,Very Low,1.9607843,6.49953575,Very Low,1.9607843,45.54,Relatively Moderate,0.666666667,61.04,Relatively High,0.176470588,NA,NA,Not Applicable,NA,NA,Not Applicable,11,53.73847,Relatively Low,98,67.45148,Relatively Low,NA,32.64397073,Very Low,128,55.4565702,Relatively Low,4.00E+01,71.65129,Relatively Moderate,0,1.076716,Very Low,108,32.44503664,Relatively Low,0,28.654031,Relatively Low,2075,17.85714286,Very Low,17,4.517976,Very Low,162,23.0034998,Relatively Low,9,19.24912504,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,0.22271715,Very Low,3.60E+01,24.944321,Relatively Low,23-Mar,"brown, illinois",-90.71527,39.93796
602,602,illinois,IL,bureau,33213,1.48E+10,412917553,8.82E+02,63.44257079,Relatively Low,64.7058823,65.83101207,Relatively Low,65.6862745,27.21,Relatively Low,0.431372549,84.21,Very High,0.656862745,NA,NA,Not Applicable,NA,NA,Not Applicable,16,86.3188,Relatively High,231,95.32294,Relatively Moderate,NA,69.55138403,Relatively Low,132,89.4686605,Relatively Moderate,1.80E+01,64.33344,Relatively Low,0,18.9322566,Very Low,43,39.74017322,Relatively Low,0,35.656923,Relatively Low,1473,61.74388674,Relatively Low,20,45.402482,Relatively Low,198,87.846007,Relatively Moderate,31,80.65542475,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,28.73051225,Very Low,6.20E+01,56.92014,Relatively Low,23-Mar,"bureau, illinois",-89.36691,41.28913
603,603,illinois,IL,calhoun,4437,6.55E+08,44346826,2.86E+02,3.81800827,Very Low,0.9803922,5.35437945,Very Low,0.9803922,3.09,Very Low,0.098039216,73.17,Relatively High,0.352941176,NA,NA,Not Applicable,NA,NA,Not Applicable,4,40.43907,Relatively Low,91,44.4798,Very Low,NA,34.26662424,Very Low,179,46.8978683,Relatively Low,7.10E+01,68.18326,Relatively Low,0,0.3589053,Very Low,78,23.28447702,Very Low,0,23.064568,Relatively Low,1918,12.03346203,Very Low,23,12.790328,Very Low,207,12.5994273,Very Low,8,19.5672924,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,1.08176901,Very Low,4.00E+01,13.903913,Very Low,23-Mar,"calhoun, illinois",-88.04365,38.65033
604,604,illinois,IL,carroll,15692,5.10E+09,248752825,4.72E+02,44.4161629,Very Low,36.2745098,49.21077066,Very Low,42.1568628,14.7,Very Low,0.274509804,67.63,Relatively High,0.254901961,NA,NA,Not Applicable,NA,NA,Not Applicable,23,81.03723,Relatively Moderate,294,88.86414,Relatively Moderate,NA,32.45307031,Very Low,129,18.5809736,Very Low,1.80E+01,51.86128,Relatively Low,1,3.6787797,Very Low,49,63.89073951,Relatively Moderate,0,35.978156,Relatively Low,1486,36.64736165,Relatively Low,35,68.469615,Relatively Low,204,89.4368438,Relatively High,13,49.88864143,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,26.94877506,Very Low,7.30E+01,41.170856,Relatively Low,23-Mar,"carroll, illinois",-89.96268,42.03858
605,605,illinois,IL,cass,13037,1.46E+09,139810298,3.88E+02,30.3849825,Very Low,23.5294118,29.74311359,Very Low,18.627451,55.32,Relatively Moderate,0.843137255,71.04,Relatively High,0.31372549,NA,NA,Not Applicable,NA,NA,Not Applicable,11,70.79224,Relatively Moderate,119,83.4553,Relatively Moderate,NA,48.615972,Very Low,129,45.0206809,Relatively Low,4.60E+01,81.73719,Relatively Moderate,0,4.9798116,Very Low,104,33.31112592,Relatively Low,0,32.09123,Relatively Low,2164,35.93951094,Relatively Low,27,53.961184,Relatively Low,171,75.3102132,Relatively Moderate,13,34.77569201,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,0.41361756,Very Low,2.70E+01,42.952593,Relatively Low,23-Mar,"cass, illinois",-90.262,39.93986
606,606,illinois,IL,champaign,205823,3.89E+10,430805559,1.01E+03,85.49156857,Relatively Moderate,90.1960784,85.32961931,Relatively Moderate,90.1960784,56.05,Relatively Moderate,0.87254902,85.3,Very High,0.696078431,NA,NA,Not Applicable,NA,NA,Not Applicable,12,96.21381,Relatively High,42,86.5097,Relatively Moderate,NA,91.25039771,Relatively Low,97,63.6334712,Relatively Low,3.40E+01,97.10468,Relatively High,5,48.0933154,Very Low,62,83.17788141,Relatively Moderate,0,11.596531,Relatively Low,1952,51.41570142,Relatively Low,48,84.632517,Relatively Moderate,138,90.3277124,Relatively High,63,95.13203945,Relatively High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,37.67101495,Very Low,3.10E+01,48.520522,Relatively Low,23-Mar,"champaign, illinois",-88.24338,40.11642
607,607,illinois,IL,christian,33996,8.26E+09,319672872,7.23E+02,52.68851416,Relatively Low,49.0196078,57.47446611,Relatively Low,54.9019608,18.08,Very Low,0.294117647,84.02,Very High,0.647058824,NA,NA,Not Applicable,NA,NA,Not Applicable,6,78.87369,Relatively Moderate,49,72.35126,Relatively Low,NA,87.33693923,Relatively Low,126,74.9602291,Relatively Low,4.60E+01,88.45052,Relatively Moderate,1,27.4113952,Very Low,90,54.497002,Relatively Low,0,21.233537,Relatively Low,2131,50.54697555,Relatively Low,41,61.342666,Relatively Low,182,59.4654788,Relatively Moderate,48,48.29780465,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,17.97645562,Very Low,3.00E+01,47.56602,Relatively Low,23-Mar,"christian, illinois",-89.3227,39.56722
608,608,illinois,IL,clark,15435,4.23E+09,187279494,5.10E+02,29.01686287,Very Low,21.5686275,33.42618384,Very Low,23.5294118,7.1,Very Low,0.176470588,69.8,Relatively High,0.294117647,NA,NA,Not Applicable,NA,NA,Not Applicable,4,58.63824,Relatively Moderate,49,78.39644,Relatively Low,NA,79.35093859,Relatively Low,103,59.4336621,Relatively Low,3.80E+01,74.57843,Relatively Moderate,5,27.6805742,Very Low,50,32.11192538,Relatively Low,0,20.109219,Relatively Low,1948,25.86872587,Very Low,33,44.257079,Relatively Low,146,43.1753102,Relatively Low,7,36.0165447,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,16.73560293,Very Low,2.80E+01,60.292714,Relatively Low,23-Mar,"clark, illinois",-87.77633,39.38242
609,609,illinois,IL,clay,13270,4.25E+09,133186903,4.74E+02,48.0750875,Very Low,44.1176471,47.66326215,Very Low,39.2156863,39.97,Relatively Low,0.558823529,82.56,Very High,0.598039216,NA,NA,Not Applicable,NA,NA,Not Applicable,2,47.88419,Relatively Low,42,77.5692,Relatively Low,NA,87.49602291,Relatively Low,103,11.1358575,Very Low,4.40E+01,76.9965,Relatively Moderate,2,27.4562584,Very Low,42,65.75616256,Relatively Moderate,0,38.355284,Relatively Low,1937,34.07335907,Relatively Low,49,64.142539,Relatively Low,145,77.8873688,Relatively Moderate,15,41.87082405,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,16.09926822,Very Low,2.40E+01,43.27076,Relatively Low,23-Mar,"clay, illinois",-88.55653,38.72794
610,610,illinois,IL,clinton,36801,8.86E+09,283281832,5.08E+02,65.76519249,Relatively Low,66.6666667,67.00711854,Relatively Low,69.6078431,13.21,Very Low,0.254901961,89.15,Very High,0.803921569,NA,NA,Not Applicable,NA,NA,Not Applicable,3,66.94241,Relatively Moderate,42,57.42921,Relatively Low,NA,92.23671651,Relatively Low,169,81.7371938,Relatively Moderate,6.50E+01,84.2189,Relatively Moderate,3,20.3230148,Very Low,48,60.59293804,Relatively Moderate,0,16.768391,Relatively Low,1982,52.86357786,Relatively Low,21,64.047089,Relatively Low,197,61.7244671,Relatively Moderate,17,68.69233217,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,22.78078269,Very Low,3.30E+01,67.419663,Relatively Moderate,23-Mar,"clinton, illinois",-88.96453,40.15365
611,611,illinois,IL,coles,46818,1.22E+10,153661315,5.15E+02,68.81959911,Relatively Low,72.5490196,66.60476633,Relatively Low,68.627451,54.07,Relatively Moderate,0.81372549,75.37,Relatively High,0.401960784,NA,NA,Not Applicable,NA,NA,Not Applicable,6,81.13268,Relatively Moderate,42,81.19631,Relatively Low,NA,88.92777601,Relatively Low,97,93.0957684,Relatively Moderate,4.00E+01,90.55043,Relatively Moderate,5,39.2552714,Very Low,56,55.3964024,Relatively Low,0,29.007388,Relatively Low,1858,32.91505792,Relatively Low,42,70.219535,Relatively Low,146,73.9102768,Relatively Moderate,25,74.83296214,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,27.71237671,Very Low,3.00E+01,67.578746,Relatively Moderate,23-Mar,"coles, illinois",-88.4705,39.52014
612,612,illinois,IL,cook,5272775,8.93E+11,22584899,1.65E+03,99.61819917,Very High,100,99.59764779,Very High,100,80.04,Very High,0.990196078,72.57,Relatively High,0.343137255,NA,NA,Not Applicable,NA,44.26559,Very Low,8.604951888,100,Very High,196,19.94909,Very Low,NA,96.65924276,Relatively Moderate,82,93.9230035,Relatively Moderate,1.43E+01,100,Very High,0,62.1803499,Very Low,23,90.93937375,Relatively High,0,88.756826,Relatively Moderate,953,99.1956242,Very High,141,99.172765,Relatively High,112,99.7454661,Very High,37,99.96818326,Very High,NA,NA,Insufficient Data,NA,NA,Not Applicable,NA,60.73814827,Very Low,3.87E+01,99.650016,Very High,23-Mar,"cook, illinois",-87.69755,41.73766
613,613,illinois,IL,crawford,18678,5.78E+09,124396990,4.50E+02,52.65669742,Relatively Low,48.0392157,53.54379449,Relatively Low,47.0588235,41.57,Relatively Moderate,0.598039216,76.26,Relatively High,0.441176471,NA,NA,Not Applicable,NA,NA,Not Applicable,4,60.38816,Relatively Moderate,70,78.77824,Relatively Low,NA,87.65510659,Relatively Low,103,66.9424117,Relatively Low,4.40E+01,80.24181,Relatively Moderate,0,16.3750561,Very Low,36,53.83077948,Relatively Low,0,35.046579,Relatively Low,1916,39.06048906,Relatively Low,41,62.138085,Relatively Low,142,79.541839,Relatively Moderate,12,51.51129494,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,7.66783328,Very Low,2.80E+01,42.507159,Relatively Low,23-Mar,"crawford, illinois",-87.77633,39.04996
614,614,illinois,IL,cumberland,10425,2.51E+09,138327346,3.50E+02,16.3538021,Very Low,9.8039216,21.4175178,Very Low,11.7647059,1.75,Very Low,0.049019608,83.35,Very High,0.62745098,NA,NA,Not Applicable,NA,NA,Not Applicable,4,52.8476,Relatively Low,42,73.94209,Relatively Low,NA,69.77410118,Relatively Low,98,48.9023226,Relatively Low,4.20E+01,68.8196,Relatively Low,5,20.637057,Very Low,50,23.81745503,Very Low,0,24.060392,Relatively Low,1969,18.01801802,Very Low,28,32.45307,Very Low,151,53.1021317,Relatively Low,10,26.05790646,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,10.46770601,Very Low,2.80E+01,51.956729,Relatively Low,23-Mar,"cumberland, illinois",-88.20716,39.26535
615,615,illinois,IL,dekalb,100385,2.62E+10,440725371,6.41E+02,74.89659561,Relatively Low,79.4117647,75.45651501,Relatively Low,79.4117647,49.52,Relatively Moderate,0.735294118,83.64,Very High,0.637254902,NA,NA,Not Applicable,NA,NA,Not Applicable,21,97.67738,Very High,224,51.09768,Relatively Low,NA,72.03308941,Relatively Low,158,93.0003182,Relatively Moderate,1.10E+01,81.10086,Relatively Moderate,0,15.5226559,Very Low,42,45.16988674,Relatively Low,0,21.811757,Relatively Low,1548,80.5984556,Relatively Moderate,27,57.492841,Relatively Low,218,94.1139039,Relatively High,20,88.57779192,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,16.99013681,Very Low,6.20E+01,43.652561,Relatively Low,23-Mar,"dekalb, illinois",-88.74991,41.92954
616,616,illinois,IL,de witt,15516,3.58E+09,138067214,4.09E+02,24.21253579,Very Low,16.6666667,33.48808418,Very Low,24.5098039,4.39,Very Low,0.117647059,96.59,Very High,0.960784314,NA,NA,Not Applicable,NA,NA,Not Applicable,13,72.06491,Relatively Moderate,91,77.47375,Relatively Low,NA,64.49252307,Very Low,111,77.3146675,Relatively Low,3.30E+01,68.50143,Relatively Low,0,4.6209062,Very Low,109,41.70552965,Relatively Low,0,14.423386,Relatively Low,2139,25.41827542,Very Low,19,36.652879,Relatively Low,167,44.9888641,Relatively Low,21,39.93000318,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,3.49984092,Very Low,3.20E+01,46.993318,Relatively Low,23-Mar,"de witt, illinois",-88.78618,40.18115
617,617,illinois,IL,douglas,19718,4.65E+09,182976108,4.21E+02,44.32071269,Very Low,35.2941176,43.11358712,Very Low,33.3333333,53.53,Relatively Moderate,0.803921569,75.21,Relatively High,0.392156863,NA,NA,Not Applicable,NA,NA,Not Applicable,8,72.98759,Relatively Moderate,42,81.70538,Relatively Low,NA,78.39643653,Relatively Low,95,85.0461343,Relatively Moderate,3.70E+01,77.91919,Relatively Moderate,5,29.2059219,Very Low,63,42.10526316,Relatively Low,0,5.236107,Very Low,1785,35.36036036,Relatively Low,25,50.143175,Relatively Low,140,76.90105,Relatively Moderate,23,46.00699968,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,12.21762647,Very Low,3.10E+01,61.724467,Relatively Moderate,23-Mar,"douglas, illinois",-88.20716,39.76176
618,618,illinois,IL,dupage,932368,2.24E+11,4449289,3.40E+02,94.94113904,Relatively Moderate,99.0196078,95.57412566,Relatively High,99.0196078,21.99,Relatively Low,0.343137255,80.27,Very High,0.549019608,NA,NA,Not Applicable,NA,NA,Not Applicable,15.45183364,95.06841,Relatively High,189,18.61279,Very Low,NA,91.18676424,Relatively Low,140,99.1727649,Relatively High,1.28E+01,91.6322,Relatively Moderate,0,46.2987887,Very Low,29,80.67954697,Relatively Moderate,0,80.790234,Relatively Moderate,1605,96.2033462,Relatively High,64,92.841234,Relatively Moderate,190,99.5863824,Very High,23,99.49093223,Very High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,52.8157811,Very Low,6.39E+01,87.464206,Relatively High,23-Mar,"dupage, illinois",-88.09008,41.82438
619,619,illinois,IL,edgar,16856,5.73E+09,246096627,6.30E+02,41.48902323,Very Low,31.372549,42.98978644,Very Low,32.3529412,25.21,Relatively Low,0.401960784,72.44,Relatively High,0.333333333,NA,NA,Not Applicable,NA,NA,Not Applicable,8,69.965,Relatively Moderate,42,78.84187,Relatively Low,NA,81.89627744,Relatively Low,109,35.3483933,Very Low,3.70E+01,75.88291,Relatively Moderate,6,35.5764917,Very Low,78,46.16922052,Relatively Low,0,38.483778,Relatively Low,1921,32.56113256,Relatively Low,34,33.153039,Very Low,145,78.332803,Relatively Moderate,27,50.52497614,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,18.64460706,Very Low,3.10E+01,68.501432,Relatively Moderate,23-Mar,"edgar, illinois",-87.70114,39.75559
